Ganancias por hora promedio,Años de educación,Años de experiencia,Género
2.900000095367432,11,1,M
15.0,11,35,M
4.0,12,5,M
5.25,11,13,M
4.0,12,22,M
3.299999952316284,12,21,F
5.050000190734863,12,19,F
3.5799999237060547,12,13,M
5.0,14,15,M
4.570000171661377,14,3,M
12.5,18,6,M
3.450000047683716,12,6,F
4.630000114440918,12,16,F
10.0,12,31,M
2.9200000762939453,11,1,F
4.510000228881836,12,5,M
6.5,17,3,M
7.5,16,11,M
3.539999961853028,13,6,F
4.199999809265137,13,11,F
3.509999990463257,12,7,F
4.5,14,5,M
3.3499999046325684,14,5,F
2.9100000858306885,11,2,M
5.25,10,44,M
4.050000190734863,8,44,M
3.75,14,13,F
3.400000095367432,12,26,F
3.0,10,2,F
6.289999961853027,17,10,M
2.539999961853028,9,2,F
4.5,12,35,F
3.130000114440918,12,6,F
6.360000133514404,14,8,M
4.679999828338623,16,1,M
6.800000190734863,12,14,M
8.529999732971191,10,14,M
4.170000076293945,0,22,F
3.75,14,8,F
11.100000381469728,15,1,F
3.259999990463257,16,15,F
9.130000114440918,12,14,M
4.5,11,37,M
3.0,11,1,F
8.75,12,4,M
4.139999866485596,13,29,F
2.869999885559082,12,45,F
3.3499999046325684,13,22,F
6.079999923706055,16,42,M
3.0,15,9,M
4.199999809265137,16,8,F
5.599999904632568,15,31,F
10.0,12,24,M
12.5,18,16,M
3.759999990463257,6,6,M
3.0999999046325684,6,14,F
4.289999961853027,12,47,F
10.920000076293944,12,34,M
7.5,16,6,F
4.050000190734863,9,7,F
4.650000095367432,12,27,M
5.0,11,24,M
2.900000095367432,10,18,F
8.0,12,12,F
8.430000305175781,8,27,M
2.9200000762939453,9,49,F
6.25,17,4,F
6.25,16,24,F
5.110000133514404,11,3,M
4.0,10,2,F
4.440000057220459,8,29,M
6.880000114440918,13,34,M
5.429999828338623,14,10,M
3.0,13,5,F
2.900000095367432,11,2,F
6.25,7,39,M
4.340000152587891,16,5,F
3.25,12,14,F
7.260000228881836,13,8,M
6.349999904632568,14,10,F
5.630000114440918,16,2,M
8.75,14,9,M
3.200000047683716,11,1,M
3.0,8,45,F
3.0,14,33,F
12.5,17,21,M
2.880000114440918,10,2,F
3.3499999046325684,12,9,M
6.5,12,33,M
10.380000114440918,18,16,M
4.5,14,10,M
10.0,18,9,M
3.809999942779541,12,8,F
8.800000190734863,16,9,M
9.420000076293944,14,23,F
6.329999923706055,12,23,M
4.0,9,22,M
2.900000095367432,12,37,F
20.0,12,22,M
11.25,17,28,M
3.5,12,14,F
6.0,15,19,F
14.380000114440918,17,10,M
6.360000133514404,16,25,M
3.549999952316284,12,21,F
3.0,15,32,M
4.5,16,21,M
6.630000114440918,12,36,F
9.300000190734863,15,2,M
3.0,12,11,F
3.25,12,40,F
1.5,12,11,F
5.900000095367432,12,9,F
8.0,16,23,M
2.900000095367432,11,1,F
3.289999961853028,14,30,M
6.5,14,41,M
4.0,13,6,F
6.0,14,11,M
4.079999923706055,12,43,F
3.75,12,39,F
3.049999952316284,8,50,F
3.5,12,26,F
2.9200000762939453,3,51,M
4.5,11,3,M
3.3499999046325684,15,3,F
5.949999809265137,11,15,M
8.0,12,17,M
3.0,4,36,M
5.0,9,31,M
5.5,12,9,M
2.650000095367432,12,42,F
3.0,11,3,F
4.5,12,37,F
17.5,16,23,M
8.180000305175781,13,21,M
9.09000015258789,15,11,M
11.81999969482422,16,35,M
3.25,12,42,F
4.5,12,3,M
4.5,12,13,M
3.7100000381469727,9,14,M
6.5,10,14,M
2.900000095367432,12,39,F
5.599999904632568,11,11,M
2.2300000190734863,8,28,M
5.0,6,18,F
8.329999923706055,16,6,M
2.900000095367432,12,26,F
6.25,12,21,M
4.550000190734863,16,34,M
3.2799999713897705,12,17,F
2.299999952316284,10,2,F
3.299999952316284,13,5,F
3.150000095367432,13,1,F
12.5,14,40,M
5.150000095367432,16,39,F
3.130000114440918,10,1,M
7.25,12,14,M
2.900000095367432,12,2,F
1.75,11,2,M
2.890000104904175,0,42,F
2.900000095367432,5,34,F
17.709999084472656,16,10,M
6.25,16,4,M
2.5999999046325684,9,4,M
6.630000114440918,15,21,F
3.5,12,31,F
6.5,12,20,M
3.0,12,36,F
4.380000114440918,13,7,M
10.0,12,15,M
4.949999809265137,7,25,M
9.0,17,7,F
1.4299999475479126,12,17,F
3.0799999237060547,12,3,M
9.329999923706056,14,12,M
7.5,12,18,M
4.75,13,47,M
5.650000095367432,12,2,M
15.0,16,14,F
2.2699999809265137,10,2,F
4.670000076293945,15,13,M
11.5600004196167,16,5,M
3.5,14,5,F
